title,company,salary_from,salary_to,salary_currency,skills,experience,has_higher_education,requirements,responsibilities
DevOps-инженер,Цифров,,,,"Kubernetes, DevOps, Grafana, Prometheus, RabbitMQ, Kafka, PostgreSQL, Docker, Linux, Terraform, Ubuntu, CentOS, Ansible, Debian",От 3 до 6 лет,False,,
LLMOps engineer,CoIT,,400000,RUR,"Kubernetes, Azure, CI/CD, AWS, GCP (Good Clinical Practice)",От 3 до 6 лет,True,,
Data Engineer (Big Data),Платформа ОФД,,,,"Python, Java, Scala, SQL, Big Data, Hadoop",От 1 года до 3 лет,False,,
Бизнес-аналитик (ООО Салют для бизнеса),Салют для Бизнеса,,,,"Бизнес-анализ, Управление ожиданиями, LLM, ML, data science, AI",От 1 года до 3 лет,False,,
Senior ML Engineer/ML Team Lead (CV),ДВ СМАРТ,200000,350000,RUR,"Python, Управление командой, PyTorch, Алгоритмы и структуры данных, OpenCV, Deep Learning, GitLab CI",От 3 до 6 лет,True,,
"Научный сотрудник (Цифровая обработка сигналов, DSP)",The Skolkovo Institute of Science and Technology,,,,,От 3 до 6 лет,True,,
Prompt-инженер (Специалист по работе с ИИ),Фонд капитального ремонта общего имущества многоквартирных домов,150000,,RUR,"Информационные технологии, ИТ-инфраструктура, Работа с большим объемом информации, Ответственность, Работа в команде, LLM, Python, PROMT",От 1 года до 3 лет,False,,
Middle+ / Senior Data-аналитик,Линсофтверпродакшн,200000,300000,RUR,"Big Data, pandas, Математическая статистика, SQL, Git, ETL, Hadoop, Java, Python, Groovy, Atlassian Jira, Atlassian Confluence",Более 6 лет,True,,
Начальник отдела систем компьютерного зрения (Computer Vision Engineer),НПО ПКРВ-Иннополис,300000,,RUR,,От 3 до 6 лет,False,,
Биоинформатик / Data-Engineer,Онкодиагностика Атлас,,,,"знаниt методологии NGS, Знание молекулярной биологии, Linux, Git, Python, MySQL",От 1 года до 3 лет,False,,
ML-инженер,ДАЛКОС,250000,,RUR,,От 1 года до 3 лет,False,,
ML-инженер,Sigma Academy (АНО ДПО МУЦ ИТ),,,,,Более 6 лет,True,,
ML Ops Engineer (рекомендательные системы),Flowwow,,,,"Kubernetes, Yandex Cloud, MLflow, Apache Airflow, Helm",Более 6 лет,False,,
Data Engineer,Онлайн-школа Тетрика,,,,"Data, ETL, PostgreSQL, Airflow, Python, SQL, ETL/ELT",От 1 года до 3 лет,False,,
Аналитик данных,Юрент,,,,"SQL, Маркетинговые метрики, Python",От 3 до 6 лет,False,,
Data engineer/ ETL (Spark) разработчик (Трайб Data Office),АО «ОТП Банк» (JSC «OTP Bank»),,,,,От 3 до 6 лет,False,,
Специалист машинного обучения (Middle ML engineer),Совкомбанк Технологии,,,,,От 3 до 6 лет,False,,
Эксперт ИБ MLSecOps (Безопасность моделей машинного обучения),АО «ОТП Банк» (JSC «OTP Bank»),,,,,От 3 до 6 лет,False,,
Middle DevOps Engineer (AI & Football Analytics),СБЕР,,,,,От 3 до 6 лет,False,,
ML Ops,Кибертех-Сигнал,,,,"C++, FastAPI, Flask",От 3 до 6 лет,False,,
Тимлид продуктовой аналитики (Travelpayouts),Aviasales.ru,,,,"SQL, Python",Более 6 лет,False,,
CV Engineer (Видеоаналитика),ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ,,,,"Computer Vision, Python, ONNX, PyTorch, TensorFlow, TorchScript, TensorRT, OpenCV, FFmpeg, inference, batching, quantization",От 3 до 6 лет,False,,
Senior ML Engineer/ML Team Lead,ПРОКАТТ,,,,,Более 6 лет,False,,
Deep Learning Engineer в команду AI Core (VLM модели),Navio (ООО Автотех),,,,,Более 6 лет,False,,
Product Owner (проект Паспорт Здоровья),Группа компаний МЕДСИ,,,,,От 3 до 6 лет,False,,
ML-инженер,Marfatech,,,,"Python, SQL",От 1 года до 3 лет,False,,
Data Scientist / DL Engineer,АЙ-ЭКСП,150000,,RUR,,От 3 до 6 лет,False,,
Инженер по внедрению ИИ (AI Engineer / LLM Developer),Алфарма,,,,,От 1 года до 3 лет,False,,
Team Lead,"МАГНИТ, Розничная сеть",,,,,Более 6 лет,False,,
DevOps Engineer (Big Data / Data Engineering),TEAMSCORE,,,,"DevOps, CI/CD, Ansible, Puppet, Apache Kafka, Prometheus, Grafana, Bash, Python, PostgreSQL",От 1 года до 3 лет,False,,
Стажер Data scientist,Банк ПСБ,,,,,Нет опыта,False,,
Senior Data Analyst (Medtech),evrone.ru,,350000,RUR,"SQL, Python, Английский язык, Визуализация данных, Tableau, Power BI",От 3 до 6 лет,True,,
Senior Product Manager (Портал «Рамблер»),Rambler&Co,,,,,От 3 до 6 лет,False,,
Product Analyst,Aviasales.ru,,,,,От 3 до 6 лет,False,,
Data Scientist/ML-инженер (OCR),Ингосстрах,,,,,От 1 года до 3 лет,False,,
DevOps lead/Старший системный инженер,BI.ZONE,,,,"Linux, Docker, Kubernetes, Ansible",От 3 до 6 лет,False,,
Team lead DevOps/Руководитель группы DevOps,BI.ZONE,,,,"Ansible, Kubernetes, Terraform, CI/CD",От 3 до 6 лет,False,,
Senior ML Engineer,High Sky,4000,8000,USD,"Computer Science, NLP, CV, Computer Vision, Deep Learning",Более 6 лет,True,,
Senior ML Engineer (ASR/TTS),Oh! My Gadget!,150000,200000,RUR,"Python, TTS, ASR",От 3 до 6 лет,False,,
ML-инженер (Computer Vision),Октопустех,,,,"Python, PyTorch, OpenCV, Object Detection, YOLO, Computer Vision, Detectron2, COCO, CVAT, ONNX, TensorRT, Docker, FastAPI, Git, Numpy, pandas, Albumentations, Model Optimization, Real-time Inference, MLflow, Weights & Biases, SQL, CUDA, Face Recognition, Video Processing",От 3 до 6 лет,True,,
Senior,It Sokol,150000,220000,RUR,"Информационные технологии, Управление командой, IIot",От 1 года до 3 лет,False,,
Руководитель группы продуктовых сценариев,VK,,,,,От 3 до 6 лет,False,,
Руководитель группы качества ранжирования клипов,VK,,,,,От 3 до 6 лет,False,,
Middle ML Engineer,Voximplant,,,,,От 1 года до 3 лет,False,,
ML Engineer,IT Solutions Management International Pte. Ltd.,117000,117000,RUR,"ML, Deep Learning, Python, Docker, ООП, Git, LLM, RAG, MySQL, Langchain",От 1 года до 3 лет,False,,
Инженер по Threat Hunting и AI Security,Т-Банк,,,,,От 3 до 6 лет,False,,
Senior MLOps в команду MlOps платформы,HeadHunter,,,,"Python, MlOps, CI/CD, ML, DS, LLM",Более 6 лет,False,,
"Product Lead (OfferWalls, AI)",Flocktory,,,,,Более 6 лет,False,,
MLOps - инженер,Инфосистемы Джет,,,,"Python, Jupyter Hub/Lab, Apache Airflow, GitLab CI, Grafana, Docker, Kubernetes, OpenShift, Prometheus, Ceph, MLflow, DVC, Nvidia GPU Operator",От 3 до 6 лет,False,,
Data Engineer [Middle],Диплей,,,,"ETL, Clickhouse, Python",От 1 года до 3 лет,True,,
ML-engineer,Платформа Трим,,,,,От 3 до 6 лет,False,,
Менеджер MLOps Engineering (ML-конвейра),Инфосистемы Джет,,,,"Gitlab, Kubernetes, Jupyter Lab, Python, MS Office, Atlassian Jira, Atlassian Confluence",От 3 до 6 лет,False,,
ML-инженер,Альфа-Банк,,160000,RUR,"Машинное обучение, Python, Scikit-learn, Numpy, Алгоритмы ML, Компьютерное зрение, Генерация изображений, Full-Stack разработка, MS SQL, Git",От 1 года до 3 лет,False,,
Ведущий ML-программист (Ценообразование и Прогноз Спроса),Техвилл (ООО Автомакон),,470000,RUR,"Python, PyTorch, TensorFlow, Keras, XGBoost, LightGBM, CatBoost, pandas, SQL",От 3 до 6 лет,False,,
ML инженер (LLM),1С,,,,,Более 6 лет,False,,
Backend-разработчик Python (AI / RAG-системы),B2B-Center,,,,,От 1 года до 3 лет,False,,
LLM Engineer,МФТИ,250000,400000,RUR,,От 1 года до 3 лет,True,,
"AI/ML Engineer (RAG, Multi-Agent Systems, Orchestration)",Филиал The Visa Services в г. Москва,2500,5000,USD,"Английский язык, Python",От 3 до 6 лет,False,,
Data Engineer (в Тбилиси),TradingView,,,,"Docker, SQL, ETL",От 3 до 6 лет,False,,
"Инженер-архитектор IT оборудования (серверное оборудование, СХД)",Атлас,,,,"Системная интеграция, ИТ-архитектура, Серверное оборудование, СХД",От 3 до 6 лет,False,,
